timestamp,accel,HR,o2%
92413,0.162817,72,95
92414,0.162817,72,95
92415,0.162817,72,95
92416,0.162817,72,95
92417,0.162817,72,95
92418,0.162817,72,95
92419,0.162817,72,95
92420,0.162817,72,95
92421,0.162817,72,95
92422,0.162817,72,95
92423,0.162817,72,95
92424,0.162817,72,95
92425,0.162817,72,95
92426,0.162817,72,95
92435,0.160669,72,95
92436,0.160669,72,95
92437,0.160669,72,95
92438,0.160669,72,95
92439,0.160669,72,95
92440,0.160669,72,95
92441,0.160669,72,95
92442,0.160669,72,95
92443,0.160669,72,95
92444,0.160669,72,95
92445,0.160669,72,95
92446,0.160669,72,95
92447,0.160669,72,95
92448,0.160669,72,95
92449,0.160669,72,95
92450,0.160669,72,95
92451,0.159717,72,95
92452,0.159717,72,95
92453,0.159717,72,95
92454,0.159717,72,95
92459,0.159717,72,95
92460,0.159717,72,95
92461,0.159717,72,95
92462,0.159717,72,95
92463,0.159717,72,95
92464,0.159717,72,95
92465,0.159717,72,95
92466,0.159717,72,95
92467,0.159717,72,95
92468,0.159717,72,95
92469,0.159717,72,95
92470,0.159717,72,95
92471,0.159717,72,95
92472,0.158887,72,95
92473,0.158887,72,95
92474,0.158887,72,95
92475,0.158887,72,95
92476,0.158887,72,95
92477,0.158887,72,95
92488,0.158887,72,95
92489,0.158887,72,95
92490,0.158887,72,95
92491,0.158887,72,95
92493,0.15769,72,95
92494,0.15769,72,95
92495,0.15769,72,95
92496,0.15769,72,95
92497,0.15769,72,95
92498,0.15769,72,95
92499,0.15769,72,95
92500,0.15769,72,95
92501,0.15769,72,95
92502,0.15769,72,95
92503,0.15769,72,95
92504,0.15769,72,95
92505,0.15769,72,95
92506,0.15769,72,95
92507,0.15769,72,95
92508,0.15769,72,95
92515,0.158374,72,95
92516,0.158374,72,95
92517,0.158374,72,95
92518,0.158374,72,95
92519,0.158374,72,95
92520,0.158374,72,95
92521,0.158374,72,95
92522,0.158374,72,95
92523,0.158374,72,95
92524,0.158374,72,95
92525,0.158374,72,95
92526,0.158374,72,95
92527,0.158374,72,95
92528,0.158374,72,95
92529,0.158374,72,95
92530,0.158374,72,95
92531,0.158374,72,95
92532,0.158374,72,95
92533,0.158374,72,95
92535,0.158643,72,95
92544,0.158643,72,95
92545,0.158643,72,95
92546,0.158643,72,95
92547,0.158643,72,95
92548,0.158643,72,95
92549,0.158643,72,95
92550,0.158643,72,95
92551,0.158643,72,95
92552,0.158643,72,95
92553,0.158643,72,95
92554,0.158643,72,95
92556,0.156592,72,95
92557,0.156592,72,95
92558,0.156592,72,95
92559,0.156592,72,95
92560,0.156592,72,95
92561,0.156592,72,95
92562,0.156592,72,95
92563,0.156592,72,95
92564,0.156592,72,95
92569,0.156592,72,95
92570,0.156592,72,95
92571,0.156592,72,95
92572,0.156592,72,95
92573,0.156592,72,95
92574,0.156592,72,95
92575,0.156592,72,95
92577,0.154858,72,95
92578,0.154858,72,95
92579,0.154858,72,95
92580,0.154858,72,95
92581,0.154858,72,95
92582,0.154858,72,95
92583,0.154858,72,95
92584,0.154858,72,95
92585,0.154858,72,95
92586,0.154858,72,95
92587,0.154858,72,95
92588,0.154858,72,95
92599,0.156152,72,95
92600,0.156152,72,95
92601,0.156152,72,95
92602,0.156152,72,95
92603,0.156152,72,95
92604,0.156152,72,95
92605,0.156152,72,95
92606,0.156152,72,95
92607,0.156152,72,95
92608,0.156152,72,95
92609,0.156152,72,95
92610,0.156152,72,95
92611,0.156152,72,95
92612,0.156152,72,95
92613,0.156152,72,95
92614,0.156152,72,95
92615,0.156152,72,95
92616,0.156152,72,95
92617,0.156152,72,95
92619,0.156836,72,95
92624,0.156836,72,95
92625,0.156836,72,95
92626,0.156836,72,95
92627,0.156836,72,95
92628,0.156836,72,95
92629,0.156836,72,95
92630,0.156836,72,95
92631,0.156836,72,95
92632,0.156836,72,95
92633,0.156836,72,95
92634,0.156836,72,95
92635,0.156836,72,95
92636,0.156836,72,95
92637,0.156836,72,95
92638,0.156836,72,95
92640,0.158398,72,95
92641,0.158398,72,95
